V|0200049|07/10/2011|0|-20,55|-3,70|-24,25|
C|2003051|15/10/2011|0|72,03|12,97|85,00|
V|0200050|07/10/2011|0|-48,03|-8,64|-56,67|
V|0200051|07/10/2011|0|-0,65|-0,12|-0,77|
V|0200052|07/10/2011|0|-9,31|-1,68|-10,99|
V|0200053|07/10/2011|0|-14,37|-2,59|-16,96|
C|2003052|15/10/2011|0|99,82|17,97|117,79|
V|0200054|07/10/2011|0|-39,13|-7,04|-46,17|
C|2003053|15/10/2011|0|135,59|24,41|160,00|
V|0200055|07/10/2011|0|-30,43|-5,48|-35,91|
V|0200056|07/10/2011|0|-3,32|-0,60|-3,92|
C|2003054|15/10/2011|0|68,91|12,40|81,31|
V|0200057|07/10/2011|0|-29,23|-5,26|-34,49|
V|0200058|07/10/2011|0|-10,28|-1,85|-12,13|
C|2003055|15/10/2011|0|102,03|18,36|120,39|
V|0200059|07/10/2011|0|-39,31|-7,07|-46,38|
C|2003056|15/10/2011|0|16,95|3,05|20,00|
V|0200060|07/10/2011|0|-10,01|-1,80|-11,81|
C|2003057|15/10/2011|0|71,92|12,94|84,86|
V|0200061|07/10/2011|0|-22,45|-4,04|-26,49|
C|2003058|15/10/2011|0|29,64|5,33|34,97|
V|0200062|07/10/2011|0|-39,26|-7,07|-46,33|
C|2003059|15/10/2011|0|42,39|7,63|50,02|
V|0200063|07/10/2011|0|-7,97|-1,44|-9,41|
V|0200064|07/10/2011|0|-15,45|-2,78|-18,23|
C|2003060|15/10/2011|0|115,41|20,77|136,18|
V|0200065|07/10/2011|0|-41,55|-7,48|-49,03|
C|2003061|15/10/2011|0|34,21|6,16|40,37|
V|0200066|07/10/2011|0|-78,51|-14,13|-92,64|
C|2003062|15/10/2011|0|93,22|16,78|110,00|
V|0200067|07/10/2011|0|-36,07|-6,49|-42,56|
C|2003063|15/10/2011|0|51,69|9,31|61,00|
V|0200068|07/10/2011|0|-25,61|-4,61|-30,22|
C|2003064|15/10/2011|0|50,85|9,15|60,00|
V|0200069|07/10/2011|0|-40,11|-7,22|-47,33|
C|2003065|15/10/2011|0|56,57|10,18|66,75|
V|0200070|07/10/2011|0|-14,92|-2,68|-17,60|
C|2003066|15/10/2011|0|50,85|9,15|60,00|
V|0200071|07/10/2011|0|-40,94|-7,37|-48,31|
C|2003067|15/10/2011|0|52,57|9,46|62,03|
V|0200072|07/10/2011|0|-38,54|-6,94|-45,48|
C|2003068|15/10/2011|0|27,42|4,93|32,35|
V|0200073|07/10/2011|0|-1,04|-0,19|-1,23|
C|2003069|15/10/2011|0|172,95|31,13|204,08|
V|0200074|07/10/2011|0|-61,58|-11,09|-72,67|
V|0200075|07/10/2011|0|-32,53|-5,86|-38,39|
V|0200076|07/10/2011|0|-17,34|-3,12|-20,46|
V|0200077|07/10/2011|0|-2,07|-0,37|-2,44|
C|2003070|15/10/2011|0|59,36|10,68|70,04|
V|0200078|07/10/2011|0|-20,16|-3,63|-23,79|
C|2003071|15/10/2011|0|59,32|10,68|70,00|
V|0200079|07/10/2011|0|-11,76|-2,12|-13,88|
C|2003072|15/10/2011|0|16,95|3,05|20,00|
V|0200080|07/10/2011|0|-3,67|-0,66|-4,33|
V|0200081|07/10/2011|0|-2,01|-0,36|-2,37|
C|2003073|15/10/2011|0|42,37|7,63|50,00|
V|0200082|07/10/2011|0|-7,43|-1,34|-8,77|
C|2003074|15/10/2011|0|84,75|15,25|100,00|
V|0200083|07/10/2011|0|-6,41|-1,15|-7,56|
C|2003075|15/10/2011|0|59,32|10,68|70,00|
V|0200084|07/10/2011|0|-15,57|-2,80|-18,37|
C|2003076|15/10/2011|0|50,85|9,15|60,00|
V|0200085|07/10/2011|0|-21,43|-3,86|-25,29|
V|0200086|07/10/2011|0|-0,44|-0,08|-0,52|
V|0200087|07/10/2011|0|-1,44|-0,26|-1,70|
C|2003077|15/10/2011|0|146,75|26,41|173,16|
V|0200088|07/10/2011|0|-90,57|-16,30|-106,87|
V|0200089|07/10/2011|0|-2,16|-0,39|-2,55|
C|2003078|15/10/2011|0|25,42|4,58|30,00|
V|0200090|07/10/2011|0|-13,69|-2,46|-16,15|
C|2003079|15/10/2011|0|97,63|17,57|115,20|
V|0200091|07/10/2011|0|-18,99|-3,42|-22,41|
V|0200092|07/10/2011|0|-4,80|-0,86|-5,66|
V|0200093|07/10/2011|0|-5,66|-1,02|-6,68|
C|2003080|15/10/2011|0|58,71|10,57|69,28|
V|0200094|07/10/2011|0|-25,59|-4,61|-30,20|
C|2003081|15/10/2011|0|76,27|13,73|90,00|
V|0200095|07/10/2011|0|-2,01|-0,36|-2,37|
C|2003082|15/10/2011|0|106,88|19,24|126,12|
V|0200096|07/10/2011|0|-84,51|-15,21|-99,72|
C|2003083|15/10/2011|0|28,81|5,19|34,00|
V|0200097|07/10/2011|0|-35,55|-6,40|-41,95|
C|2003084|15/10/2011|0|93,31|16,79|110,10|
V|0200098|07/10/2011|0|-37,83|-6,81|-44,64|
V|0200099|07/10/2011|0|-7,02|-1,26|-8,28|
V|0200100|07/10/2011|0|-3,69|-0,66|-4,35|
C|2003085|15/10/2011|0|46,61|8,39|55,00|
V|0200101|07/10/2011|0|-27,44|-4,94|-32,38|
C|2003086|15/10/2011|0|182,33|32,82|215,15|
V|0200102|07/10/2011|0|-72,09|-12,98|-85,07|
V|0200103|07/10/2011|0|-4,49|-0,81|-5,30|
V|0200104|07/10/2011|0|-3,95|-0,71|-4,66|
C|2003087|15/10/2011|0|48,86|8,80|57,66|
V|0200105|07/10/2011|0|-15,73|-2,83|-18,56|
V|0200106|07/10/2011|0|-4,83|-0,87|-5,70|
C|2003088|15/10/2011|0|16,95|3,05|20,00|
V|0200107|07/10/2011|0|-5,77|-1,04|-6,81|
C|2003089|15/10/2011|0|65,83|11,85|77,68|
V|0200108|07/10/2011|0|-27,03|-4,87|-31,90|
C|2003090|15/10/2011|0|45,01|8,10|53,11|
V|0200109|07/10/2011|0|-25,26|-4,55|-29,81|
C|2003091|15/10/2011|0|84,75|15,25|100,00|
V|0200110|07/10/2011|0|-24,06|-4,33|-28,39|
C|2003092|15/10/2011|0|130,67|23,52|154,19|
V|0200111|07/10/2011|0|-31,71|-5,71|-37,42|
V|0200112|07/10/2011|0|-11,64|-2,09|-13,73|
V|0200113|07/10/2011|0|-2,06|-0,37|-2,43|
C|2003093|15/10/2011|0|38,31|6,90|45,21|
V|0200114|07/10/2011|0|-15,76|-2,84|-18,60|
C|2003094|15/10/2011|0|59,32|10,68|70,00|
V|0200115|07/10/2011|0|-29,62|-5,33|-34,95|
C|2003095|15/10/2011|0|41,12|7,40|48,52|
V|0200116|07/10/2011|0|-13,88|-2,50|-16,38|
C|2003096|15/10/2011|0|16,95|3,05|20,00|
V|0200117|07/10/2011|0|-9,92|-1,78|-11,70|
C|2003097|15/10/2011|0|50,85|9,15|60,00|
V|0200118|07/10/2011|0|-48,20|-8,68|-56,88|
C|2003098|15/10/2011|0|42,37|7,63|50,00|
V|0200119|07/10/2011|0|-13,31|-2,39|-15,70|
C|2003099|15/10/2011|0|101,69|18,31|120,00|
V|0200120|07/10/2011|0|-1,45|-0,26|-1,71|
C|2003100|15/10/2011|0|35,69|6,42|42,11|
V|0200121|07/10/2011|0|-30,94|-5,57|-36,51|
C|2003101|15/10/2011|0|110,92|19,96|130,88|
V|0200122|07/10/2011|0|-23,92|-4,30|-28,22|
V|0200123|07/10/2011|0|-165,24|-29,74|-194,98|
C|2003102|15/10/2011|0|99,22|17,86|117,08|
V|0200124|07/10/2011|0|-32,97|-5,93|-38,90|
C|2003103|15/10/2011|0|50,85|9,15|60,00|
V|0200125|07/10/2011|0|-8,41|-1,51|-9,92|
C|2003104|15/10/2011|0|25,42|4,58|30,00|
V|0200126|07/10/2011|0|-14,86|-2,67|-17,53|
C|2003105|15/10/2011|0|25,42|4,58|30,00|
V|0200127|07/10/2011|0|-17,02|-3,06|-20,08|
C|2003106|15/10/2011|0|88,98|16,02|105,00|
V|0200128|07/10/2011|0|-17,92|-3,22|-21,14|
V|0200129|07/10/2011|0|-1,91|-0,34|-2,25|
V|0200130|07/10/2011|0|-20,84|-3,75|-24,59|
V|0200131|07/10/2011|0|-15,27|-2,75|-18,02|
C|2003107|15/10/2011|0|104,11|18,74|122,85|
V|0200132|07/10/2011|0|-38,50|-6,93|-45,43|
V|0200133|07/10/2011|0|-3,25|-0,58|-3,83|
V|0200134|07/10/2011|0|-0,81|-0,14|-0,95|
V|0200135|07/10/2011|0|-0,48|-0,09|-0,57|
C|2003108|15/10/2011|0|422,97|76,14|499,11|
V|0200136|07/10/2011|0|-119,45|-21,50|-140,95|
C|2003109|15/10/2011|0|3015,90|542,86|3558,76|
C|2003110|15/10/2011|0|12,71|2,29|15,00|
V|0200137|07/10/2011|0|-14,17|-2,55|-16,72|
C|2003111|15/10/2011|0|50,85|9,15|60,00|
V|0200138|07/10/2011|0|-28,65|-5,16|-33,81|
V|0200139|07/10/2011|0|-0,32|-0,06|-0,38|
C|2003112|15/10/2011|0|191,89|34,54|226,43|
V|0200140|07/10/2011|0|-109,20|-19,66|-128,86|
C|2003113|15/10/2011|0|70,07|12,61|82,68|
V|0200141|07/10/2011|0|-41,17|-7,41|-48,58|
C|2003114|15/10/2011|0|42,37|7,63|50,00|
V|0200142|07/10/2011|0|-6,35|-1,14|-7,49|
V|0200143|07/10/2011|0|-4,09|-0,74|-4,83|
C|2003115|15/10/2011|0|118,69|21,37|140,06|
V|0200144|07/10/2011|0|-21,48|-3,87|-25,35|
C|2003116|15/10/2011|0|42,37|7,63|50,00|
V|0200145|07/10/2011|0|-18,64|-3,36|-22,00|
C|2003117|15/10/2011|0|39,65|7,14|46,79|
V|0200146|07/10/2011|0|-15,35|-2,76|-18,11|
C|2003118|15/10/2011|0|50,85|9,15|60,00|
V|0200147|07/10/2011|0|-12,79|-2,30|-15,09|
V|0200148|07/10/2011|0|-11,15|-2,01|-13,16|
V|0200149|07/10/2011|0|-0,69|-0,12|-0,81|
C|2003119|15/10/2011|0|92,41|16,63|109,04|
V|0200150|07/10/2011|0|-47,85|-8,61|-56,46|
C|2003120|15/10/2011|0|25,02|4,50|29,52|
V|0200151|07/10/2011|0|-15,55|-2,80|-18,35|
C|2003121|15/10/2011|0|25,42|4,58|30,00|
V|0200152|07/10/2011|0|-9,70|-1,75|-11,45|
C|2003122|15/10/2011|0|12,71|2,29|15,00|
V|0200153|07/10/2011|0|-2,03|-0,36|-2,39|
V|0200154|07/10/2011|0|-8,78|-1,58|-10,36|
V|0200155|07/10/2011|0|-12,96|-2,33|-15,29|
C|2003123|15/10/2011|0|67,80|12,20|80,00|
V|0200156|07/10/2011|0|-37,41|-6,73|-44,14|
C|2003124|15/10/2011|0|95,47|17,19|112,66|
V|0200157|07/10/2011|0|-14,60|-2,63|-17,23|
